path,split,label
val\clap\syn_clap_236.wav,val,clap
val\clap\syn_clap_24.wav,val,clap
val\clap\syn_clap_241.wav,val,clap
val\clap\syn_clap_243.wav,val,clap
val\clap\syn_clap_245.wav,val,clap
val\clap\syn_clap_246.wav,val,clap
val\clap\syn_clap_247.wav,val,clap
val\clap\syn_clap_248.wav,val,clap
val\clap\syn_clap_249.wav,val,clap
val\clap\syn_clap_25.wav,val,clap
val\clap\syn_clap_250.wav,val,clap
val\clap\syn_clap_251.wav,val,clap
val\clap\syn_clap_252.wav,val,clap
val\clap\syn_clap_253.wav,val,clap
val\clap\syn_clap_254.wav,val,clap
val\clap\syn_clap_255.wav,val,clap
val\clap\syn_clap_256.wav,val,clap
val\clap\syn_clap_257.wav,val,clap
val\clap\syn_clap_258.wav,val,clap
val\clap\syn_clap_259.wav,val,clap
val\clap\syn_clap_260.wav,val,clap
val\clap\syn_clap_261.wav,val,clap
val\clap\syn_clap_262.wav,val,clap
val\clap\syn_clap_263.wav,val,clap
val\clap\syn_clap_264.wav,val,clap
val\clap\syn_clap_265.wav,val,clap
val\clap\syn_clap_266.wav,val,clap
val\clap\syn_clap_267.wav,val,clap
val\clap\syn_clap_268.wav,val,clap
val\clap\syn_clap_269.wav,val,clap
val\clap\syn_clap_270.wav,val,clap
val\clap\syn_clap_271.wav,val,clap
val\clap\syn_clap_272.wav,val,clap
val\clap\syn_clap_273.wav,val,clap
val\clap\syn_clap_274.wav,val,clap
val\clap\syn_clap_275.wav,val,clap
val\clap\syn_clap_276.wav,val,clap
val\clap\syn_clap_277.wav,val,clap
val\clap\syn_clap_278.wav,val,clap
val\clap\syn_clap_279.wav,val,clap
val\clap\syn_clap_28.wav,val,clap
val\clap\syn_clap_280.wav,val,clap
val\clap\syn_clap_281.wav,val,clap
val\clap\syn_clap_282.wav,val,clap
val\clap\syn_clap_283.wav,val,clap
val\clap\syn_clap_284.wav,val,clap
val\clap\syn_clap_285.wav,val,clap
val\clap\syn_clap_286.wav,val,clap
val\clap\syn_clap_287.wav,val,clap
val\clap\syn_clap_288.wav,val,clap
val\clap\syn_clap_289.wav,val,clap
val\clap\syn_clap_290.wav,val,clap
val\clap\syn_clap_291.wav,val,clap
val\clap\syn_clap_292.wav,val,clap
val\clap\syn_clap_293.wav,val,clap
val\clap\syn_clap_294.wav,val,clap
val\clap\syn_clap_295.wav,val,clap
val\clap\syn_clap_296.wav,val,clap
val\clap\syn_clap_297.wav,val,clap
val\clap\syn_clap_33.wav,val,clap
val\clap\syn_clap_34.wav,val,clap
val\clap\syn_clap_35.wav,val,clap
val\clap\syn_clap_37.wav,val,clap
val\clap\syn_clap_38.wav,val,clap
val\clap\syn_clap_4.wav,val,clap
val\clap\syn_clap_40.wav,val,clap
val\clap\syn_clap_42.wav,val,clap
val\clap\syn_clap_44.wav,val,clap
val\clap\syn_clap_46.wav,val,clap
val\clap\syn_clap_47.wav,val,clap
val\clap\syn_clap_48.wav,val,clap
val\clap\syn_clap_51.wav,val,clap
val\clap\syn_clap_52.wav,val,clap
val\clap\syn_clap_53.wav,val,clap
val\clap\syn_clap_54.wav,val,clap
val\clap\syn_clap_55.wav,val,clap
val\clap\syn_clap_57.wav,val,clap
val\clap\syn_clap_58.wav,val,clap
val\clap\syn_clap_59.wav,val,clap
val\clap\syn_clap_6.wav,val,clap
val\clap\syn_clap_61.wav,val,clap
val\clap\syn_clap_65.wav,val,clap
val\clap\syn_clap_66.wav,val,clap
val\clap\syn_clap_67.wav,val,clap
val\clap\syn_clap_68.wav,val,clap
val\clap\syn_clap_73.wav,val,clap
val\clap\syn_clap_76.wav,val,clap
val\clap\syn_clap_77.wav,val,clap
val\clap\syn_clap_79.wav,val,clap
val\clap\syn_clap_81.wav,val,clap
val\clap\syn_clap_82.wav,val,clap
val\clap\syn_clap_85.wav,val,clap
val\clap\syn_clap_87.wav,val,clap
val\clap\syn_clap_89.wav,val,clap
val\clap\syn_clap_90.wav,val,clap
val\clap\syn_clap_92.wav,val,clap
val\clap\syn_clap_93.wav,val,clap
val\clap\syn_clap_97.wav,val,clap
val\clap\syn_clap_98.wav,val,clap
val\not_clap\syn_not_clap_10.wav,val,not_clap
val\not_clap\syn_not_clap_102.wav,val,not_clap
val\not_clap\syn_not_clap_104.wav,val,not_clap
val\not_clap\syn_not_clap_105.wav,val,not_clap
val\not_clap\syn_not_clap_108.wav,val,not_clap
val\not_clap\syn_not_clap_109.wav,val,not_clap
val\not_clap\syn_not_clap_110.wav,val,not_clap
val\not_clap\syn_not_clap_113.wav,val,not_clap
val\not_clap\syn_not_clap_117.wav,val,not_clap
val\not_clap\syn_not_clap_118.wav,val,not_clap
val\not_clap\syn_not_clap_12.wav,val,not_clap
val\not_clap\syn_not_clap_121.wav,val,not_clap
val\not_clap\syn_not_clap_122.wav,val,not_clap
val\not_clap\syn_not_clap_123.wav,val,not_clap
val\not_clap\syn_not_clap_124.wav,val,not_clap
val\not_clap\syn_not_clap_125.wav,val,not_clap
val\not_clap\syn_not_clap_131.wav,val,not_clap
val\not_clap\syn_not_clap_132.wav,val,not_clap
val\not_clap\syn_not_clap_133.wav,val,not_clap
val\not_clap\syn_not_clap_135.wav,val,not_clap
val\not_clap\syn_not_clap_137.wav,val,not_clap
val\not_clap\syn_not_clap_139.wav,val,not_clap
val\not_clap\syn_not_clap_14.wav,val,not_clap
val\not_clap\syn_not_clap_141.wav,val,not_clap
val\not_clap\syn_not_clap_144.wav,val,not_clap
val\not_clap\syn_not_clap_145.wav,val,not_clap
val\not_clap\syn_not_clap_146.wav,val,not_clap
val\not_clap\syn_not_clap_148.wav,val,not_clap
val\not_clap\syn_not_clap_149.wav,val,not_clap
val\not_clap\syn_not_clap_15.wav,val,not_clap
val\not_clap\syn_not_clap_155.wav,val,not_clap
val\not_clap\syn_not_clap_156.wav,val,not_clap
val\not_clap\syn_not_clap_157.wav,val,not_clap
val\not_clap\syn_not_clap_158.wav,val,not_clap
val\not_clap\syn_not_clap_159.wav,val,not_clap
val\not_clap\syn_not_clap_16.wav,val,not_clap
val\not_clap\syn_not_clap_163.wav,val,not_clap
val\not_clap\syn_not_clap_165.wav,val,not_clap
val\not_clap\syn_not_clap_167.wav,val,not_clap
val\not_clap\syn_not_clap_169.wav,val,not_clap
val\not_clap\syn_not_clap_170.wav,val,not_clap
val\not_clap\syn_not_clap_171.wav,val,not_clap
val\not_clap\syn_not_clap_174.wav,val,not_clap
val\not_clap\syn_not_clap_176.wav,val,not_clap
val\not_clap\syn_not_clap_177.wav,val,not_clap
val\not_clap\syn_not_clap_178.wav,val,not_clap
val\not_clap\syn_not_clap_179.wav,val,not_clap
val\not_clap\syn_not_clap_18.wav,val,not_clap
val\not_clap\syn_not_clap_180.wav,val,not_clap
val\not_clap\syn_not_clap_181.wav,val,not_clap
val\not_clap\syn_not_clap_182.wav,val,not_clap
val\not_clap\syn_not_clap_184.wav,val,not_clap
val\not_clap\syn_not_clap_185.wav,val,not_clap
val\not_clap\syn_not_clap_187.wav,val,not_clap
val\not_clap\syn_not_clap_188.wav,val,not_clap
val\not_clap\syn_not_clap_19.wav,val,not_clap
val\not_clap\syn_not_clap_191.wav,val,not_clap
val\not_clap\syn_not_clap_192.wav,val,not_clap
val\not_clap\syn_not_clap_193.wav,val,not_clap
val\not_clap\syn_not_clap_194.wav,val,not_clap
val\not_clap\syn_not_clap_196.wav,val,not_clap
val\not_clap\syn_not_clap_198.wav,val,not_clap
val\not_clap\syn_not_clap_200.wav,val,not_clap
val\not_clap\syn_not_clap_202.wav,val,not_clap
val\not_clap\syn_not_clap_203.wav,val,not_clap
val\not_clap\syn_not_clap_207.wav,val,not_clap
val\not_clap\syn_not_clap_21.wav,val,not_clap
val\not_clap\syn_not_clap_210.wav,val,not_clap
val\not_clap\syn_not_clap_212.wav,val,not_clap
val\not_clap\syn_not_clap_213.wav,val,not_clap
val\not_clap\syn_not_clap_214.wav,val,not_clap
val\not_clap\syn_not_clap_215.wav,val,not_clap
val\not_clap\syn_not_clap_22.wav,val,not_clap
val\not_clap\syn_not_clap_221.wav,val,not_clap
val\not_clap\syn_not_clap_228.wav,val,not_clap
val\not_clap\syn_not_clap_229.wav,val,not_clap
val\not_clap\syn_not_clap_23.wav,val,not_clap
val\not_clap\syn_not_clap_232.wav,val,not_clap
val\not_clap\syn_not_clap_233.wav,val,not_clap
val\not_clap\syn_not_clap_235.wav,val,not_clap
val\not_clap\syn_not_clap_236.wav,val,not_clap
val\not_clap\syn_not_clap_238.wav,val,not_clap
val\not_clap\syn_not_clap_242.wav,val,not_clap
val\not_clap\syn_not_clap_244.wav,val,not_clap
val\not_clap\syn_not_clap_246.wav,val,not_clap
val\not_clap\syn_not_clap_247.wav,val,not_clap
val\not_clap\syn_not_clap_248.wav,val,not_clap
val\not_clap\syn_not_clap_249.wav,val,not_clap
val\not_clap\syn_not_clap_250.wav,val,not_clap
val\not_clap\syn_not_clap_251.wav,val,not_clap
val\not_clap\syn_not_clap_252.wav,val,not_clap
val\not_clap\syn_not_clap_253.wav,val,not_clap
val\not_clap\syn_not_clap_254.wav,val,not_clap
val\not_clap\syn_not_clap_255.wav,val,not_clap
val\not_clap\syn_not_clap_256.wav,val,not_clap
val\not_clap\syn_not_clap_257.wav,val,not_clap
val\not_clap\syn_not_clap_258.wav,val,not_clap
val\not_clap\syn_not_clap_259.wav,val,not_clap
val\not_clap\syn_not_clap_26.wav,val,not_clap
val\not_clap\syn_not_clap_260.wav,val,not_clap
val\not_clap\syn_not_clap_261.wav,val,not_clap
val\not_clap\syn_not_clap_262.wav,val,not_clap
val\not_clap\syn_not_clap_263.wav,val,not_clap
val\not_clap\syn_not_clap_264.wav,val,not_clap
val\not_clap\syn_not_clap_265.wav,val,not_clap
val\not_clap\syn_not_clap_266.wav,val,not_clap
val\not_clap\syn_not_clap_267.wav,val,not_clap
val\not_clap\syn_not_clap_268.wav,val,not_clap
val\not_clap\syn_not_clap_269.wav,val,not_clap
val\not_clap\syn_not_clap_27.wav,val,not_clap
val\not_clap\syn_not_clap_270.wav,val,not_clap
val\not_clap\syn_not_clap_271.wav,val,not_clap
val\not_clap\syn_not_clap_272.wav,val,not_clap
val\not_clap\syn_not_clap_273.wav,val,not_clap
val\not_clap\syn_not_clap_274.wav,val,not_clap
val\not_clap\syn_not_clap_275.wav,val,not_clap
val\not_clap\syn_not_clap_276.wav,val,not_clap
val\not_clap\syn_not_clap_277.wav,val,not_clap
val\not_clap\syn_not_clap_278.wav,val,not_clap
val\not_clap\syn_not_clap_279.wav,val,not_clap
val\not_clap\syn_not_clap_280.wav,val,not_clap
val\not_clap\syn_not_clap_281.wav,val,not_clap
val\not_clap\syn_not_clap_282.wav,val,not_clap
val\not_clap\syn_not_clap_283.wav,val,not_clap
val\not_clap\syn_not_clap_284.wav,val,not_clap
val\not_clap\syn_not_clap_285.wav,val,not_clap
val\not_clap\syn_not_clap_286.wav,val,not_clap
val\not_clap\syn_not_clap_287.wav,val,not_clap
val\not_clap\syn_not_clap_288.wav,val,not_clap
val\not_clap\syn_not_clap_289.wav,val,not_clap
val\not_clap\syn_not_clap_290.wav,val,not_clap
val\not_clap\syn_not_clap_291.wav,val,not_clap
val\not_clap\syn_not_clap_292.wav,val,not_clap
val\not_clap\syn_not_clap_293.wav,val,not_clap
val\not_clap\syn_not_clap_294.wav,val,not_clap
val\not_clap\syn_not_clap_295.wav,val,not_clap
val\not_clap\syn_not_clap_296.wav,val,not_clap
val\not_clap\syn_not_clap_297.wav,val,not_clap
val\not_clap\syn_not_clap_31.wav,val,not_clap
val\not_clap\syn_not_clap_33.wav,val,not_clap
val\not_clap\syn_not_clap_34.wav,val,not_clap
val\not_clap\syn_not_clap_35.wav,val,not_clap
val\not_clap\syn_not_clap_38.wav,val,not_clap
val\not_clap\syn_not_clap_39.wav,val,not_clap
val\not_clap\syn_not_clap_42.wav,val,not_clap
val\not_clap\syn_not_clap_45.wav,val,not_clap
val\not_clap\syn_not_clap_51.wav,val,not_clap
val\not_clap\syn_not_clap_52.wav,val,not_clap
val\not_clap\syn_not_clap_53.wav,val,not_clap
val\not_clap\syn_not_clap_55.wav,val,not_clap
val\not_clap\syn_not_clap_57.wav,val,not_clap
val\not_clap\syn_not_clap_60.wav,val,not_clap
val\not_clap\syn_not_clap_61.wav,val,not_clap
val\not_clap\syn_not_clap_62.wav,val,not_clap
val\not_clap\syn_not_clap_63.wav,val,not_clap
val\not_clap\syn_not_clap_64.wav,val,not_clap
val\not_clap\syn_not_clap_65.wav,val,not_clap
val\not_clap\syn_not_clap_66.wav,val,not_clap
val\not_clap\syn_not_clap_68.wav,val,not_clap
val\not_clap\syn_not_clap_71.wav,val,not_clap
val\not_clap\syn_not_clap_74.wav,val,not_clap
val\not_clap\syn_not_clap_77.wav,val,not_clap
val\not_clap\syn_not_clap_79.wav,val,not_clap
val\not_clap\syn_not_clap_80.wav,val,not_clap
val\not_clap\syn_not_clap_81.wav,val,not_clap
val\not_clap\syn_not_clap_83.wav,val,not_clap
val\not_clap\syn_not_clap_84.wav,val,not_clap
val\not_clap\syn_not_clap_85.wav,val,not_clap
val\not_clap\syn_not_clap_86.wav,val,not_clap
val\not_clap\syn_not_clap_9.wav,val,not_clap
val\not_clap\syn_not_clap_91.wav,val,not_clap
val\not_clap\syn_not_clap_93.wav,val,not_clap
val\not_clap\syn_not_clap_94.wav,val,not_clap
val\not_clap\syn_not_clap_95.wav,val,not_clap
val\not_clap\syn_not_clap_99.wav,val,not_clap
test\clap\syn_clap_1.wav,test,clap
test\clap\syn_clap_10.wav,test,clap
test\clap\syn_clap_100.wav,test,clap
test\clap\syn_clap_101.wav,test,clap
test\clap\syn_clap_102.wav,test,clap
test\clap\syn_clap_103.wav,test,clap
test\clap\syn_clap_105.wav,test,clap
test\clap\syn_clap_106.wav,test,clap
test\clap\syn_clap_107.wav,test,clap
test\clap\syn_clap_108.wav,test,clap
test\clap\syn_clap_109.wav,test,clap
test\clap\syn_clap_115.wav,test,clap
test\clap\syn_clap_116.wav,test,clap
test\clap\syn_clap_118.wav,test,clap
test\clap\syn_clap_120.wav,test,clap
test\clap\syn_clap_121.wav,test,clap
test\clap\syn_clap_122.wav,test,clap
test\clap\syn_clap_123.wav,test,clap
test\clap\syn_clap_127.wav,test,clap
test\clap\syn_clap_130.wav,test,clap
test\clap\syn_clap_131.wav,test,clap
test\clap\syn_clap_132.wav,test,clap
test\clap\syn_clap_134.wav,test,clap
test\clap\syn_clap_135.wav,test,clap
test\clap\syn_clap_140.wav,test,clap
test\clap\syn_clap_143.wav,test,clap
test\clap\syn_clap_144.wav,test,clap
test\clap\syn_clap_145.wav,test,clap
test\clap\syn_clap_146.wav,test,clap
test\clap\syn_clap_147.wav,test,clap
test\clap\syn_clap_15.wav,test,clap
test\clap\syn_clap_153.wav,test,clap
test\clap\syn_clap_154.wav,test,clap
test\clap\syn_clap_155.wav,test,clap
test\clap\syn_clap_157.wav,test,clap
test\clap\syn_clap_158.wav,test,clap
test\clap\syn_clap_161.wav,test,clap
test\clap\syn_clap_162.wav,test,clap
test\clap\syn_clap_167.wav,test,clap
test\clap\syn_clap_168.wav,test,clap
test\clap\syn_clap_169.wav,test,clap
test\clap\syn_clap_170.wav,test,clap
test\clap\syn_clap_171.wav,test,clap
test\clap\syn_clap_172.wav,test,clap
test\clap\syn_clap_176.wav,test,clap
test\clap\syn_clap_177.wav,test,clap
test\clap\syn_clap_179.wav,test,clap
test\clap\syn_clap_181.wav,test,clap
test\clap\syn_clap_182.wav,test,clap
test\clap\syn_clap_183.wav,test,clap
test\clap\syn_clap_185.wav,test,clap
test\clap\syn_clap_186.wav,test,clap
test\clap\syn_clap_189.wav,test,clap
test\clap\syn_clap_19.wav,test,clap
test\clap\syn_clap_193.wav,test,clap
test\clap\syn_clap_195.wav,test,clap
test\clap\syn_clap_198.wav,test,clap
test\clap\syn_clap_2.wav,test,clap
test\clap\syn_clap_20.wav,test,clap
test\clap\syn_clap_201.wav,test,clap
test\clap\syn_clap_202.wav,test,clap
test\clap\syn_clap_203.wav,test,clap
test\clap\syn_clap_204.wav,test,clap
test\clap\syn_clap_209.wav,test,clap
test\clap\syn_clap_210.wav,test,clap
test\clap\syn_clap_213.wav,test,clap
test\clap\syn_clap_214.wav,test,clap
test\clap\syn_clap_215.wav,test,clap
test\clap\syn_clap_216.wav,test,clap
test\clap\syn_clap_222.wav,test,clap
test\clap\syn_clap_223.wav,test,clap
test\clap\syn_clap_224.wav,test,clap
test\clap\syn_clap_225.wav,test,clap
test\clap\syn_clap_227.wav,test,clap
test\clap\syn_clap_229.wav,test,clap
test\clap\syn_clap_230.wav,test,clap
test\clap\syn_clap_232.wav,test,clap
test\clap\syn_clap_237.wav,test,clap
test\clap\syn_clap_238.wav,test,clap
test\clap\syn_clap_239.wav,test,clap
test\clap\syn_clap_240.wav,test,clap
test\clap\syn_clap_242.wav,test,clap
test\clap\syn_clap_244.wav,test,clap
test\clap\syn_clap_26.wav,test,clap
test\clap\syn_clap_27.wav,test,clap
test\clap\syn_clap_29.wav,test,clap
test\clap\syn_clap_298.wav,test,clap
test\clap\syn_clap_299.wav,test,clap
test\clap\syn_clap_3.wav,test,clap
test\clap\syn_clap_30.wav,test,clap
test\clap\syn_clap_300.wav,test,clap
test\clap\syn_clap_301.wav,test,clap
test\clap\syn_clap_302.wav,test,clap
test\clap\syn_clap_303.wav,test,clap
test\clap\syn_clap_304.wav,test,clap
test\clap\syn_clap_305.wav,test,clap
test\clap\syn_clap_306.wav,test,clap
test\clap\syn_clap_307.wav,test,clap
test\clap\syn_clap_308.wav,test,clap
test\clap\syn_clap_309.wav,test,clap
test\clap\syn_clap_31.wav,test,clap
test\clap\syn_clap_310.wav,test,clap
test\clap\syn_clap_311.wav,test,clap
test\clap\syn_clap_312.wav,test,clap
test\clap\syn_clap_313.wav,test,clap
test\clap\syn_clap_314.wav,test,clap
test\clap\syn_clap_315.wav,test,clap
test\clap\syn_clap_316.wav,test,clap
test\clap\syn_clap_317.wav,test,clap
test\clap\syn_clap_318.wav,test,clap
test\clap\syn_clap_319.wav,test,clap
test\clap\syn_clap_32.wav,test,clap
test\clap\syn_clap_320.wav,test,clap
test\clap\syn_clap_321.wav,test,clap
test\clap\syn_clap_322.wav,test,clap
test\clap\syn_clap_323.wav,test,clap
test\clap\syn_clap_324.wav,test,clap
test\clap\syn_clap_325.wav,test,clap
test\clap\syn_clap_326.wav,test,clap
test\clap\syn_clap_327.wav,test,clap
test\clap\syn_clap_328.wav,test,clap
test\clap\syn_clap_329.wav,test,clap
test\clap\syn_clap_330.wav,test,clap
test\clap\syn_clap_331.wav,test,clap
test\clap\syn_clap_332.wav,test,clap
test\clap\syn_clap_333.wav,test,clap
test\clap\syn_clap_334.wav,test,clap
test\clap\syn_clap_335.wav,test,clap
test\clap\syn_clap_336.wav,test,clap
test\clap\syn_clap_337.wav,test,clap
test\clap\syn_clap_338.wav,test,clap
test\clap\syn_clap_339.wav,test,clap
test\clap\syn_clap_340.wav,test,clap
test\clap\syn_clap_341.wav,test,clap
test\clap\syn_clap_342.wav,test,clap
test\clap\syn_clap_343.wav,test,clap
test\clap\syn_clap_344.wav,test,clap
test\clap\syn_clap_345.wav,test,clap
test\clap\syn_clap_346.wav,test,clap
test\clap\syn_clap_347.wav,test,clap
test\clap\syn_clap_348.wav,test,clap
test\clap\syn_clap_349.wav,test,clap
test\clap\syn_clap_36.wav,test,clap
test\clap\syn_clap_39.wav,test,clap
test\clap\syn_clap_41.wav,test,clap
test\clap\syn_clap_43.wav,test,clap
test\clap\syn_clap_45.wav,test,clap
test\clap\syn_clap_49.wav,test,clap
test\clap\syn_clap_5.wav,test,clap
test\clap\syn_clap_50.wav,test,clap
test\clap\syn_clap_56.wav,test,clap
test\clap\syn_clap_60.wav,test,clap
test\clap\syn_clap_62.wav,test,clap
test\clap\syn_clap_63.wav,test,clap
test\clap\syn_clap_64.wav,test,clap
test\clap\syn_clap_69.wav,test,clap
test\clap\syn_clap_7.wav,test,clap
test\clap\syn_clap_70.wav,test,clap
test\clap\syn_clap_71.wav,test,clap
test\clap\syn_clap_72.wav,test,clap
test\clap\syn_clap_74.wav,test,clap
test\clap\syn_clap_75.wav,test,clap
test\clap\syn_clap_78.wav,test,clap
test\clap\syn_clap_8.wav,test,clap
test\clap\syn_clap_80.wav,test,clap
test\clap\syn_clap_83.wav,test,clap
test\clap\syn_clap_84.wav,test,clap
test\clap\syn_clap_86.wav,test,clap
test\clap\syn_clap_88.wav,test,clap
test\clap\syn_clap_9.wav,test,clap
test\clap\syn_clap_91.wav,test,clap
test\clap\syn_clap_94.wav,test,clap
test\clap\syn_clap_95.wav,test,clap
test\clap\syn_clap_96.wav,test,clap
test\clap\syn_clap_99.wav,test,clap
test\not_clap\syn_not_clap_0.wav,test,not_clap
test\not_clap\syn_not_clap_1.wav,test,not_clap
test\not_clap\syn_not_clap_100.wav,test,not_clap
test\not_clap\syn_not_clap_101.wav,test,not_clap
test\not_clap\syn_not_clap_103.wav,test,not_clap
test\not_clap\syn_not_clap_106.wav,test,not_clap
test\not_clap\syn_not_clap_107.wav,test,not_clap
test\not_clap\syn_not_clap_11.wav,test,not_clap
test\not_clap\syn_not_clap_111.wav,test,not_clap
test\not_clap\syn_not_clap_112.wav,test,not_clap
test\not_clap\syn_not_clap_114.wav,test,not_clap
test\not_clap\syn_not_clap_115.wav,test,not_clap
test\not_clap\syn_not_clap_116.wav,test,not_clap
test\not_clap\syn_not_clap_119.wav,test,not_clap
test\not_clap\syn_not_clap_120.wav,test,not_clap
test\not_clap\syn_not_clap_126.wav,test,not_clap
test\not_clap\syn_not_clap_127.wav,test,not_clap
test\not_clap\syn_not_clap_128.wav,test,not_clap
test\not_clap\syn_not_clap_129.wav,test,not_clap
test\not_clap\syn_not_clap_13.wav,test,not_clap
test\not_clap\syn_not_clap_130.wav,test,not_clap
test\not_clap\syn_not_clap_134.wav,test,not_clap
test\not_clap\syn_not_clap_136.wav,test,not_clap
test\not_clap\syn_not_clap_138.wav,test,not_clap
test\not_clap\syn_not_clap_140.wav,test,not_clap
test\not_clap\syn_not_clap_142.wav,test,not_clap
test\not_clap\syn_not_clap_143.wav,test,not_clap
test\not_clap\syn_not_clap_147.wav,test,not_clap
test\not_clap\syn_not_clap_150.wav,test,not_clap
test\not_clap\syn_not_clap_151.wav,test,not_clap
test\not_clap\syn_not_clap_152.wav,test,not_clap
test\not_clap\syn_not_clap_153.wav,test,not_clap
test\not_clap\syn_not_clap_154.wav,test,not_clap
test\not_clap\syn_not_clap_160.wav,test,not_clap
test\not_clap\syn_not_clap_161.wav,test,not_clap
test\not_clap\syn_not_clap_162.wav,test,not_clap
test\not_clap\syn_not_clap_164.wav,test,not_clap
test\not_clap\syn_not_clap_166.wav,test,not_clap
test\not_clap\syn_not_clap_168.wav,test,not_clap
test\not_clap\syn_not_clap_17.wav,test,not_clap
test\not_clap\syn_not_clap_172.wav,test,not_clap
test\not_clap\syn_not_clap_173.wav,test,not_clap
test\not_clap\syn_not_clap_175.wav,test,not_clap
test\not_clap\syn_not_clap_183.wav,test,not_clap
test\not_clap\syn_not_clap_186.wav,test,not_clap
test\not_clap\syn_not_clap_189.wav,test,not_clap
test\not_clap\syn_not_clap_190.wav,test,not_clap
test\not_clap\syn_not_clap_195.wav,test,not_clap
test\not_clap\syn_not_clap_197.wav,test,not_clap
test\not_clap\syn_not_clap_199.wav,test,not_clap
test\not_clap\syn_not_clap_2.wav,test,not_clap
test\not_clap\syn_not_clap_20.wav,test,not_clap
test\not_clap\syn_not_clap_201.wav,test,not_clap
test\not_clap\syn_not_clap_204.wav,test,not_clap
test\not_clap\syn_not_clap_205.wav,test,not_clap
test\not_clap\syn_not_clap_206.wav,test,not_clap
test\not_clap\syn_not_clap_208.wav,test,not_clap
test\not_clap\syn_not_clap_209.wav,test,not_clap
test\not_clap\syn_not_clap_211.wav,test,not_clap
test\not_clap\syn_not_clap_216.wav,test,not_clap
test\not_clap\syn_not_clap_217.wav,test,not_clap
test\not_clap\syn_not_clap_218.wav,test,not_clap
test\not_clap\syn_not_clap_219.wav,test,not_clap
test\not_clap\syn_not_clap_220.wav,test,not_clap
test\not_clap\syn_not_clap_222.wav,test,not_clap
test\not_clap\syn_not_clap_223.wav,test,not_clap
test\not_clap\syn_not_clap_224.wav,test,not_clap
test\not_clap\syn_not_clap_225.wav,test,not_clap
test\not_clap\syn_not_clap_226.wav,test,not_clap
test\not_clap\syn_not_clap_227.wav,test,not_clap
